Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,37.0,36.0,34.0,39.0
1,40.0,38.0,36.0,37.0
2,42.0,41.0,95.99999999999999,37.0
3,42.0,113.0,35.0,37.0
4,110.99999999999999,32.0,42.0,113.0
5,121.0,102.0,114.0,32.0
6,121.0,116.0,102.0,42.0
7,118.0,116.0,38.0,47.0
8,121.0,40.0,117.0,108.0
9,126.0,42.0,102.0,38.0
10,48.0,41.0,105.0,112.0
11,127.0,41.0,103.0,38.0
12,41.0,114.0,101.0,41.0
13,110.99999999999999,42.0,44.0,39.0
14,41.0,45.0,108.0,112.0
15,127.0,123.0,43.0,42.0
16,115.0,36.0,36.0,101.0
17,118.0,38.0,41.0,45.0
18,124.0,113.0,116.0,44.0
19,115.0,117.0,106.0,116.0
20,46.0,44.0,115.0,39.0
21,41.0,34.0,114.0,126.0
22,41.0,36.0,108.0,124.99999999999999
23,124.0,39.0,112.0,112.0
24,91.0,39.0,108.0,110.00000000000001
25,122.0,122.0,114.0,118.0
26,42.0,122.0,113.0,123.0
27,131.0,113.0,109.0,116.0
28,128.0,41.0,106.0,45.0
29,113.0,41.0,114.0,41.0
30,122.0,42.0,39.0,41.0
31,43.0,116.0,115.0,40.0
32,44.0,43.0,104.0,43.0
33,126.0,46.0,41.0,121.0
34,123.0,41.0,110.00000000000001,39.0
35,121.0,37.0,114.0,41.0
36,118.0,46.0,116.0,37.0
37,44.0,119.0,41.0,45.0
38,119.0,40.0,122.0,117.0
39,42.0,37.0,38.0,117.0
40,117.0,37.0,41.0,132.0
41,133.0,107.0,101.0,42.0
42,128.0,41.0,41.0,37.0
43,129.0,39.0,105.0,40.0
44,134.0,110.99999999999999,107.0,40.0
45,129.0,42.0,110.00000000000001,44.0
46,109.0,127.0,41.0,118.0
47,40.0,126.0,38.0,46.0
48,117.0,121.0,39.0,118.0
49,121.0,41.0,39.0,44.0
50,44.0,35.0,123.0,42.0
51,45.0,110.00000000000001,117.0,112.0
52,124.99999999999999,41.0,44.0,115.0
53,44.0,40.0,120.0,112.0
54,122.0,40.0,34.0,114.0
55,127.0,46.0,41.0,43.0
56,113.0,35.0,106.0,34.0
57,122.0,43.0,122.0,44.0
58,133.0,41.0,114.0,124.99999999999999
59,131.0,38.0,41.0,118.0
60,122.0,37.0,120.0,42.0
61,43.0,42.0,41.0,42.0
62,122.0,42.0,106.0,39.0
63,135.0,39.0,113.0,41.0
64,42.0,38.0,43.0,116.0
65,132.0,36.0,107.0,40.0
66,40.0,37.0,106.0,39.0
67,122.0,42.0,105.0,116.0
68,124.0,114.0,40.0,44.0
69,44.0,37.0,108.0,124.0
70,44.0,112.0,44.0,43.0
71,40.0,40.0,38.0,123.0
72,116.0,43.0,36.0,45.0
73,119.0,39.0,41.0,47.0
74,128.0,41.0,108.0,42.0
75,118.0,33.0,45.0,36.0
76,40.0,117.0,103.0,43.0
77,42.0,113.0,42.0,40.0
78,120.0,39.0,113.0,36.0
79,121.0,41.0,105.0,40.0
80,43.0,38.0,98.0,113.0
81,38.0,40.0,35.0,43.0
82,121.0,38.0,37.0,115.0
83,121.0,40.0,39.0,42.0
84,44.0,39.0,107.0,121.0
85,41.0,116.0,109.0,41.0
86,46.0,36.0,121.0,42.0
87,118.0,123.0,38.0,44.0
88,45.0,41.0,104.0,38.0
89,122.0,37.0,37.0,42.0
90,123.0,42.0,108.0,108.0
91,124.0,120.0,39.0,108.0
92,120.0,116.0,38.0,43.0
93,127.0,39.0,40.0,124.0
94,130.0,122.0,106.0,113.0
95,45.0,39.0,38.0,36.0
96,46.0,44.0,40.0,123.0
97,128.0,98.0,108.0,110.00000000000001
98,115.0,35.0,112.0,45.0
99,44.0,35.0,118.0,123.0
100,108.0,39.0,117.0,40.0
101,128.0,42.0,112.0,41.0
102,122.0,131.0,37.0,120.0
103,114.0,122.0,119.0,117.0
104,118.0,44.0,108.0,114.0
105,41.0,42.0,119.0,41.0
106,116.0,44.0,116.0,36.0
107,118.0,121.0,43.0,36.0
108,38.0,41.0,105.0,43.0
109,118.0,112.0,39.0,42.0
110,134.0,47.0,106.0,110.00000000000001
111,128.0,42.0,100.0,121.0
112,45.0,43.0,103.0,40.0
113,123.0,40.0,38.0,118.0
114,43.0,45.0,104.0,37.0
115,121.0,120.0,114.0,40.0
116,133.0,44.0,119.0,124.99999999999999
117,126.0,38.0,39.0,43.0
118,138.0,38.0,38.0,39.0
119,121.0,39.0,41.0,124.99999999999999
120,124.0,37.0,40.0,41.0
121,127.0,37.0,97.0,42.0
122,44.0,46.0,39.0,39.0
123,123.0,116.0,118.0,42.0
124,43.0,42.0,37.0,40.0
125,44.0,41.0,43.0,124.99999999999999
126,124.0,122.0,35.0,127.0
127,120.0,121.0,110.00000000000001,128.0
128,47.0,43.0,94.0,41.0
129,141.0,38.0,44.0,121.0
130,116.0,45.0,41.0,128.0
131,47.0,43.0,113.0,37.0
132,123.0,36.0,38.0,44.0
133,44.0,113.0,39.0,40.0
134,105.0,47.0,38.0,37.0
135,43.0,117.0,116.0,116.0
136,124.99999999999999,38.0,41.0,120.0
137,109.0,117.0,43.0,43.0
138,123.0,123.0,107.0,44.0
139,131.0,41.0,104.0,115.0
140,124.99999999999999,42.0,123.0,42.0
141,42.0,37.0,115.0,110.00000000000001
142,127.0,128.0,108.0,39.0
143,122.0,46.0,99.0,43.0
144,127.0,41.0,105.0,42.0
145,39.0,137.0,40.0,126.0
146,123.0,42.0,37.0,41.0
147,44.0,40.0,39.0,114.0
148,124.0,44.0,105.0,113.0
149,132.0,43.0,43.0,42.0
150,38.0,124.0,38.0,41.0
151,126.0,117.0,103.0,44.0
152,131.0,46.0,108.0,39.0
153,43.0,114.0,107.0,42.0
154,45.0,122.0,39.0,44.0
155,44.0,41.0,108.0,43.0
156,45.0,39.0,117.0,36.0
157,118.0,114.0,35.0,44.0
158,40.0,112.0,99.0,120.0
159,45.0,118.0,109.0,42.0
160,124.0,123.0,41.0,131.0
161,124.99999999999999,39.0,110.00000000000001,43.0
162,40.0,36.0,121.0,121.0
163,139.0,44.0,41.0,40.0
164,103.0,44.0,105.0,41.0
165,39.0,38.0,113.0,41.0
166,124.0,39.0,106.0,33.0
167,41.0,36.0,121.0,112.0
168,46.0,124.0,40.0,40.0
169,121.0,40.0,104.0,112.0
170,118.0,45.0,117.0,43.0
171,132.0,39.0,95.99999999999999,41.0
172,114.0,40.0,122.0,43.0
173,116.0,37.0,38.0,46.0
174,42.0,36.0,113.0,44.0
175,45.0,39.0,110.99999999999999,110.99999999999999
176,128.0,119.0,42.0,42.0
177,47.0,38.0,41.0,46.0
178,112.0,42.0,114.0,117.0
179,126.0,116.0,39.0,45.0
180,133.0,46.0,101.0,122.0
181,123.0,122.0,107.0,113.0
182,116.0,38.0,36.0,119.0
183,129.0,43.0,105.0,120.0
184,130.0,40.0,40.0,123.0
185,123.0,44.0,116.0,41.0
186,128.0,119.0,119.0,117.0
187,41.0,36.0,101.0,120.0
188,132.0,37.0,106.0,121.0
189,40.0,41.0,116.0,45.0
190,127.0,116.0,85.0,44.0
191,43.0,114.0,109.0,40.0
192,135.0,41.0,42.0,119.0
193,127.0,110.00000000000001,110.00000000000001,42.0
194,121.0,46.0,38.0,114.0
195,121.0,115.0,108.0,118.0
196,132.0,116.0,110.00000000000001,46.0
197,42.0,39.0,36.0,40.0
198,128.0,41.0,38.0,122.0
199,46.0,34.0,118.0,43.0
