Time(Iteration),UCB1,egreedy_0.1,OurAlgorithm
0,510,507,660
1,482,516,683
2,524,516,702
3,535,530,602
4,546,541,575
5,557,510,543
6,537,535,552
7,545,519,559
8,573,552,539
9,555,561,559
10,542,555,556
11,543,544,533
12,569,554,512
13,589,575,557
14,576,531,547
15,554,545,578
16,564,554,532
17,547,533,542
18,585,570,569
19,552,550,544
20,571,543,546
21,551,552,571
22,548,553,587
23,592,573,560
24,564,574,569
25,567,563,595
26,580,585,608
27,570,583,595
28,598,554,577
29,559,569,564
30,569,580,601
31,589,557,576
32,584,568,606
33,598,551,584
34,584,586,589
35,593,586,571
36,577,542,572
37,583,586,576
38,555,554,596
39,588,568,581
40,569,575,561
41,582,596,588
42,568,592,593
43,579,569,566
44,571,551,586
45,578,570,575
46,599,578,614
47,545,561,616
48,575,562,629
49,590,549,585
50,581,571,593
51,593,554,571
52,576,568,608
53,598,568,615
54,557,571,626
55,572,579,584
56,615,607,598
57,570,540,620
58,544,558,631
59,585,581,586
60,575,571,610
61,583,563,646
62,589,550,617
63,590,564,622
64,599,581,577
65,591,532,615
66,557,572,627
67,554,565,637
68,605,561,651
69,586,569,642
70,568,572,602
71,582,547,615
72,574,574,610
73,559,584,582
74,587,576,630
75,585,571,598
76,586,583,616
77,573,583,590
78,599,574,619
79,583,587,584
80,597,587,626
81,562,555,598
82,565,589,594
83,612,596,602
84,611,573,576
85,615,552,607
86,582,565,611
87,592,637,597
88,583,555,622
89,583,610,602
90,557,589,625
91,599,604,604
92,607,537,597
93,568,588,591
94,583,618,606
95,572,592,619
96,618,563,609
97,605,583,618
98,596,594,614
99,605,595,592
100,553,606,611
101,550,588,608
102,599,575,639
103,620,578,599
104,586,569,617
105,593,604,637
106,592,576,626
107,574,573,598
108,613,637,607
109,596,584,608
110,592,588,654
111,587,582,663
112,582,554,635
113,623,579,597
114,593,578,607
115,599,598,614
116,586,576,621
117,594,593,633
118,599,580,603
119,591,565,626
120,598,582,611
121,603,555,577
122,552,580,631
123,620,602,619
124,573,577,617
125,573,564,600
126,565,583,637
127,576,616,599
128,562,592,623
129,593,571,643
130,607,585,605
131,583,577,610
132,561,606,587
133,567,583,633
134,593,565,584
135,593,567,620
136,559,595,597
137,570,570,615
138,595,582,606
139,586,584,598
140,610,581,621
141,569,627,605
142,595,573,623
143,575,576,580
144,596,590,602
145,576,598,631
146,596,601,632
147,576,554,622
148,585,573,638
149,576,545,588
150,618,572,597
151,570,562,632
152,588,609,591
153,576,557,592
154,554,587,635
155,572,590,642
156,610,587,630
157,588,574,631
158,578,606,605
159,591,593,619
160,593,591,609
161,589,576,617
162,604,566,605
163,567,576,614
164,593,557,601
165,583,576,609
166,571,574,612
167,599,581,613
168,565,574,597
169,600,554,622
170,599,594,604
171,562,551,603
172,598,576,601
173,559,561,644
174,561,595,602
175,582,595,602
176,594,598,621
177,567,622,601
178,603,587,626
179,607,567,591
180,595,563,630
181,583,575,606
182,609,566,641
183,593,583,625
184,569,597,653
185,565,581,606
186,564,562,597
187,594,615,619
188,604,553,616
189,576,592,628
190,589,563,633
191,580,576,624
192,576,565,601
193,592,611,602
194,574,581,616
195,625,566,605
196,599,600,607
197,586,607,619
198,640,595,635
199,590,616,610
