Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,-670.2084977069139,-700.4574145530866,-732.463292385971,-689.773573852803
1,-659.1739505907607,-679.6374731829395,-693.1724865865389,-744.4377768979322
2,-676.1082952680713,-731.5082307143724,-690.3617357201332,-702.1151231531311
3,-651.7947816728399,-698.6584905393233,-741.2633670402269,-762.2060266726105
4,-730.7576167200376,-685.9863850553976,-659.2923854035706,-713.3743110022806
5,-653.8620809117293,-703.4802665296716,-656.4630086152848,-723.1575969993221
6,-692.9649601534463,-676.847813606158,-690.7193419731118,-724.7877652592499
7,-695.2640239060344,-682.9485929007201,-680.4907973216136,-682.7951928762947
8,-760.2997021514617,-674.0325466015838,-687.1797439984458,-724.514063399231
9,-695.5710713856203,-671.0894842534186,-710.1036371990315,-658.2963503960143
10,-712.8541826455042,-674.1713492143498,-674.4699486791587,-702.5982916998089
11,-674.4812989173108,-726.006015513657,-696.4412470752465,-681.7881173589748
12,-724.9315990193429,-699.2825820790276,-731.9792562279342,-751.7481938321814
13,-670.3586469753085,-700.0899484046963,-708.4235280367789,-696.5833134059147
14,-686.7989087011342,-691.4492985505219,-706.9055918792648,-719.7130451680465
15,-680.3975770190181,-684.3158411670631,-686.4811182846985,-701.9111480986396
16,-675.0044983665466,-699.7134725126474,-698.1189657286816,-671.3493773449128
17,-697.435717486197,-631.7078197097212,-685.8362566059598,-726.397144436329
18,-739.3023510905995,-702.6470869242668,-753.4662013825247,-728.4356323647762
19,-683.8578192258408,-736.9852387954023,-716.2612711343879,-665.6368684833017
20,-676.5534838646034,-707.5819083191187,-669.2447324230611,-643.9567210917692
21,-743.1589124410158,-649.4830156650067,-682.8167698356563,-686.0390528284059
22,-735.6041546204705,-715.7584805712368,-689.1701574973625,-666.9815527159788
23,-701.3859404552925,-706.9329126889564,-732.2815562292013,-711.0431563132944
24,-678.5111497484895,-705.2801112496355,-692.5546812133887,-648.5558314256617
25,-711.9800456931002,-703.9967736828919,-773.5174576118728,-723.3141967155211
26,-669.4958562177623,-753.3694840882318,-686.3696745189225,-689.8537480846261
27,-676.847813606158,-721.2266797633107,-689.37926427468,-686.5877786784854
28,-704.65586371862,-702.3668490459997,-682.5738438290045,-742.995265715913
29,-664.8815534856839,-692.3049476816855,-697.9438738622674,-655.757182454447
30,-741.5288818988037,-726.8906290605644,-723.4947217611244,-686.445954893228
31,-693.6021165279511,-697.1303173968104,-720.7401342842888,-708.1826594967395
32,-696.2885318390014,-679.3000080954265,-731.3541957160298,-682.56397643162
33,-708.2184335428735,-721.6574844622381,-703.3328438964127,-675.3106114557226
34,-675.7951367015017,-679.6084274840904,-714.8622069891029,-687.3010384878046
35,-709.8610695216728,-727.7298821946366,-673.6284938460682,-700.1526539024451
36,-696.9445726683526,-752.081536092139,-682.4384136256193,-733.6730477122313
37,-682.2579044313478,-722.1705903382381,-724.192998615011,-734.3737899642324
38,-668.0670748848127,-755.3773719967755,-663.1884472912659,-700.9174251934692
39,-674.1107639943139,-681.7562905358376,-739.5283391749679,-738.2628040615502
40,-700.2869912813593,-753.0864314695633,-693.3169140323672,-716.2378869397227
41,-719.557532506244,-693.7160606667265,-707.0206164402032,-744.8138069047169
42,-669.9349240490949,-681.1356274658287,-675.9549420029708,-711.5111148907624
43,-783.6222853798588,-714.8814182195003,-743.1288480425407,-705.1398307502205
44,-697.6374054720534,-696.7741084232969,-685.4177324081965,-672.2084048797152
45,-693.2442226375373,-697.8331945659645,-705.1356072991451,-765.4088822115574
46,-705.5805394517652,-669.9157441791268,-716.2247854333106,-713.6036757880817
47,-682.6227222601702,-686.1359194375684,-703.0113722610304,-666.3969977045589
48,-700.8440955732059,-664.1340844528071,-670.08174110328,-680.9966822527251
49,-726.2686169899847,-648.0112136310162,-739.2234484958778,-696.1749265498443
50,-718.9099543594971,-677.1552516136975,-677.2859953932136,-743.0835104454393
51,-734.7388395098909,-726.2222187255287,-693.6066268900043,-686.0934789491752
52,-686.2241479453735,-753.111342342952,-678.1265784937161,-725.8022945033737
53,-717.3695220486376,-747.989484150003,-683.0216529335845,-674.1408216419485
54,-687.2014606109627,-663.2542754062358,-715.2526731807518,-765.1373251256425
55,-705.890012601594,-674.4969965001541,-683.4057978500359,-684.4211960421615
56,-682.6391394242145,-741.2553372708101,-694.2220461211487,-673.1617953067051
57,-697.7925433160633,-655.5933764857926,-667.600526731857,-686.8948192998021
58,-669.3739015153858,-691.1278947821261,-663.5621997954834,-719.2010030094071
59,-686.8396927363634,-684.5789828235417,-688.5307768210537,-713.9344572765591
60,-682.0488191799591,-644.769269540104,-692.1835697396064,-721.5150901918696
61,-695.7881198316234,-655.193809573953,-704.2313800196969,-724.7699737822259
62,-665.5051885099491,-671.4002031999576,-709.7702090905289,-733.6870767370204
63,-703.5440749813215,-651.9320473008895,-704.7161008333669,-668.818039750247
64,-690.6045487714256,-684.8848143221089,-690.9454104047547,-726.2686169899847
65,-718.8808948570052,-688.1961203355811,-684.8638967181699,-710.1761280367996
66,-689.3756121869425,-766.3692127654455,-747.2455104235688,-678.6591447663448
67,-670.7072602658656,-681.2183960875559,-705.8233456940334,-670.6726902933578
68,-654.7363690599793,-683.3801558480269,-725.8716847212434,-720.5963384533443
69,-650.9831069180444,-690.2824751168455,-666.5833626417609,-661.5174421802185
70,-699.3662687858506,-697.4607480595544,-738.8369747745074,-698.5299044209066
71,-697.8120274622931,-695.0163607734178,-667.4639402284084,-688.9055414774652
72,-685.9003522178429,-694.7268688653298,-691.4262311665034,-644.3744771172384
