Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,124.0,110.99999999999999,105.0,114.0
1,107.0,35.0,110.99999999999999,38.0
2,38.0,38.0,95.99999999999999,115.0
3,43.0,110.99999999999999,103.0,106.0
4,42.0,37.0,113.0,112.0
5,122.0,43.0,37.0,102.0
6,39.0,41.0,39.0,39.0
7,41.0,129.0,36.0,89.0
8,104.0,117.0,39.0,121.0
9,127.0,43.0,110.99999999999999,39.0
10,120.0,43.0,36.0,44.0
11,43.0,46.0,39.0,122.0
12,35.0,110.00000000000001,35.0,120.0
13,35.0,43.0,110.99999999999999,43.0
14,128.0,47.0,103.0,43.0
15,113.0,40.0,120.0,115.0
16,48.0,36.0,41.0,40.0
17,36.0,37.0,122.0,126.0
18,122.0,44.0,116.0,45.0
19,40.0,40.0,40.0,40.0
20,46.0,44.0,38.0,118.0
21,45.0,39.0,35.0,35.0
22,113.0,38.0,115.0,39.0
23,43.0,135.0,40.0,114.0
24,41.0,118.0,97.0,38.0
25,116.0,116.0,39.0,122.0
26,117.0,37.0,43.0,110.99999999999999
27,118.0,31.0,36.0,39.0
28,117.0,40.0,36.0,124.99999999999999
29,117.0,38.0,40.0,108.0
30,119.0,38.0,40.0,130.0
31,124.99999999999999,43.0,41.0,47.0
32,109.0,42.0,35.0,124.99999999999999
33,123.0,41.0,34.0,42.0
34,130.0,42.0,41.0,40.0
35,123.0,36.0,105.0,44.0
36,102.0,41.0,35.0,41.0
37,120.0,133.0,36.0,46.0
38,112.0,41.0,40.0,127.0
39,126.0,36.0,41.0,45.0
40,116.0,41.0,37.0,43.0
41,46.0,42.0,36.0,42.0
42,133.0,100.0,107.0,119.0
43,49.0,126.0,36.0,41.0
44,127.0,45.0,41.0,37.0
45,47.0,42.0,34.0,116.0
46,128.0,122.0,113.0,114.0
47,40.0,36.0,43.0,119.0
48,115.0,41.0,36.0,134.0
49,123.0,40.0,105.0,120.0
50,118.0,109.0,43.0,43.0
51,43.0,39.0,118.0,131.0
52,121.0,124.99999999999999,37.0,108.0
53,42.0,43.0,39.0,112.0
54,120.0,40.0,41.0,119.0
55,123.0,39.0,39.0,113.0
56,131.0,119.0,122.0,112.0
57,114.0,41.0,43.0,114.0
58,119.0,124.0,112.0,109.0
