Time(Iteration),UCB1,egreedy_0.1,IMFB
0,40.0,40.0,113.0
1,40.0,33.0,113.0
2,128.0,35.0,117.0
3,131.0,40.0,104.0
4,105.0,37.0,36.0
5,120.0,41.0,113.0
6,124.99999999999999,45.0,105.0
7,124.0,45.0,38.0
8,117.0,36.0,39.0
9,113.0,40.0,40.0
10,130.0,118.0,40.0
11,110.99999999999999,43.0,41.0
12,112.0,121.0,106.0
13,110.00000000000001,39.0,126.0
14,121.0,36.0,42.0
15,38.0,46.0,41.0
16,43.0,116.0,41.0
17,120.0,38.0,116.0
18,114.0,39.0,41.0
19,112.0,41.0,101.0
20,107.0,113.0,35.0
21,109.0,128.0,41.0
22,45.0,37.0,44.0
23,105.0,113.0,37.0
24,123.0,40.0,36.0
25,112.0,43.0,41.0
26,124.99999999999999,42.0,31.0
27,42.0,40.0,41.0
28,114.0,39.0,46.0
29,121.0,44.0,43.0
30,126.0,42.0,134.0
31,119.0,109.0,36.0
32,45.0,37.0,34.0
33,121.0,33.0,38.0
34,124.99999999999999,31.0,42.0
35,41.0,124.99999999999999,36.0
36,122.0,42.0,117.0
37,124.0,37.0,43.0
38,43.0,99.0,31.0
39,44.0,37.0,38.0
40,115.0,130.0,39.0
41,124.0,42.0,43.0
42,126.0,39.0,40.0
43,41.0,37.0,41.0
44,112.0,121.0,120.0
45,117.0,108.0,114.0
46,110.00000000000001,120.0,42.0
47,43.0,115.0,42.0
48,43.0,43.0,43.0
49,113.0,38.0,43.0
50,119.0,41.0,39.0
51,133.0,38.0,38.0
52,118.0,113.0,38.0
53,43.0,117.0,43.0
54,44.0,37.0,40.0
55,134.0,38.0,43.0
56,40.0,40.0,109.0
57,43.0,42.0,36.0
58,49.0,39.0,43.0
59,120.0,115.0,33.0
60,46.0,105.0,122.0
61,36.0,112.0,41.0
62,46.0,113.0,127.0
63,112.0,45.0,43.0
64,123.0,105.0,41.0
65,120.0,116.0,43.0
66,127.0,36.0,37.0
67,107.0,35.0,40.0
68,118.0,40.0,36.0
69,121.0,38.0,38.0
70,124.0,121.0,43.0
71,130.0,42.0,124.0
72,130.0,38.0,36.0
73,129.0,41.0,40.0
74,116.0,37.0,39.0
75,120.0,42.0,37.0
76,42.0,38.0,38.0
77,119.0,44.0,36.0
78,42.0,110.99999999999999,42.0
79,41.0,45.0,117.0
80,43.0,107.0,39.0
81,118.0,33.0,39.0
82,42.0,44.0,41.0
83,40.0,117.0,114.0
84,117.0,34.0,116.0
85,42.0,91.0,41.0
86,38.0,35.0,114.0
87,41.0,41.0,40.0
88,106.0,35.0,106.0
89,46.0,121.0,40.0
90,122.0,44.0,42.0
91,38.0,41.0,38.0
92,131.0,121.0,38.0
93,110.99999999999999,39.0,118.0
94,47.0,34.0,42.0
95,119.0,120.0,41.0
96,45.0,107.0,108.0
97,113.0,42.0,133.0
98,44.0,45.0,36.0
99,40.0,40.0,37.0
100,132.0,38.0,42.0
101,128.0,42.0,45.0
102,116.0,40.0,42.0
103,115.0,35.0,40.0
104,124.0,132.0,39.0
105,39.0,35.0,42.0
106,124.99999999999999,41.0,103.0
107,43.0,43.0,37.0
108,39.0,37.0,114.0
109,42.0,37.0,110.99999999999999
110,131.0,33.0,37.0
111,38.0,37.0,123.0
112,35.0,41.0,40.0
113,127.0,42.0,41.0
114,113.0,45.0,42.0
115,107.0,36.0,44.0
116,126.0,42.0,44.0
117,39.0,40.0,44.0
118,126.0,39.0,115.0
119,135.0,40.0,116.0
120,40.0,49.0,42.0
121,123.0,37.0,41.0
122,133.0,41.0,119.0
123,43.0,32.0,38.0
124,131.0,38.0,41.0
125,114.0,35.0,37.0
126,38.0,41.0,39.0
127,41.0,108.0,39.0
128,43.0,40.0,34.0
129,116.0,101.0,38.0
130,124.99999999999999,43.0,130.0
131,129.0,45.0,38.0
132,112.0,117.0,39.0
133,41.0,41.0,41.0
134,124.0,38.0,35.0
135,121.0,109.0,41.0
136,43.0,36.0,37.0
