Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,-1207.9327295071575,-1349.8850207756232,-1524.6725,-1087.8750788202713
1,-1412.2686665397005,-1340.5989007086387,-1709.0179307819785,-1349.8850207756232
2,-1383.4206172839504,-1319.7212360289284,-1474.5503082747432,-1745.4667990778948
3,-1435.8742340277124,-1250.1213129127932,-1490.0695691609976,-1583.162748261086
4,-1247.2751373442063,-1147.447196670616,-1149.2741820010074,-1657.97484114995
5,-1608.8859744585563,-1363.1921254374477,-1266.7899234067627,-2066.225757957048
6,-1123.2571664207733,-963.8397633136094,-1385.513110261249,-1708.8093755484842
7,-1010.3067772024983,-1122.4036416080764,-1251.8667269386112,-1109.8495878333024
8,-1269.4581306062819,-1198.966300189036,-1341.864413580247,-1035.804269146231
9,-1308.557261822773,-1215.358318434812,-1273.8914973701512,-988.430094185306
10,-1264.6559974128152,-1204.437808274743,-1250.2675469335202,-1107.267912691358
11,-1198.966300189036,-1252.251751282461,-1372.160556208627,-1147.7108105468749
12,-1176.445524691358,-1204.4704806224584,-1234.849084731932,-1163.9483100558987
13,-1150.7349437517955,-1179.3032769287106,-1298.5277991555618,-1423.7045225553961
14,-1011.5663633031938,-1071.1384811535386,-1481.8480049502905,-1387.694152239024
15,-1209.6282405491363,-1429.2068021120294,-1222.275263350135,-1335.793616870746
