Time(Iteration),UCB1,egreedy_0.1,IMFB
0,4,5,10
1,7,4,12
2,6,12,32
3,4,6,23
4,6,5,25
5,5,8,7
6,19,5,23
7,12,25,7
8,7,5,5
9,7,12,20
10,11,7,5
11,20,24,17
12,26,5,9
13,21,40,12
14,37,34,5
15,18,17,9
16,20,16,13
17,15,29,9
18,8,16,17
19,23,9,11
20,14,26,4
21,11,20,9
22,19,8,5
23,33,14,4
24,34,23,7
25,16,20,9
26,11,13,7
27,14,37,15
28,23,34,7
29,20,20,5
30,45,19,17
31,8,24,7
32,22,21,10
33,14,18,5
34,4,16,6
35,22,11,4
36,42,45,6
37,35,18,10
38,12,35,4
39,14,11,9
40,29,11,15
41,34,33,5
42,7,22,4
43,20,17,4
44,14,46,5
45,14,47,4
46,19,30,9
47,13,31,8
48,17,59,6
49,37,48,11
50,5,36,5
51,12,51,4
52,14,32,4
53,20,27,5
54,24,8,5
55,54,34,4
56,11,31,4
57,15,23,6
58,30,11,19
59,6,30,5
60,20,24,4
61,13,26,5
62,22,40,4
63,12,15,4
64,29,19,6
65,43,11,13
66,16,22,4
67,13,28,18
68,38,25,7
69,20,15,10
70,28,22,6
71,13,17,4
72,35,30,4
73,18,17,11
74,25,44,43
75,16,11,6
76,17,41,5
77,11,24,5
78,43,21,4
79,14,42,33
80,31,19,4
81,20,20,4
82,10,11,31
83,14,26,37
84,25,26,7
85,27,10,4
86,7,19,11
87,22,32,4
88,16,38,22
89,30,16,12
90,34,46,18
91,23,12,25
92,10,13,21
93,8,11,19
94,14,23,21
95,25,13,19
96,16,16,9
97,41,17,13
98,28,40,12
99,20,33,20
100,39,22,41
101,23,50,15
102,17,28,34
103,27,19,50
104,38,20,11
105,22,35,38
106,46,46,20
107,11,53,37
108,17,28,14
109,37,34,20
110,24,29,24
111,7,12,36
112,21,29,34
113,14,13,24
114,14,38,21
115,12,33,40
116,28,30,21
117,12,21,11
118,30,7,24
119,21,20,19
120,8,27,31
121,20,29,20
122,43,26,15
123,27,52,18
124,20,12,15
125,22,37,23
126,10,20,14
127,7,44,33
128,13,19,14
129,20,24,8
130,32,28,22
131,19,10,13
132,6,51,35
133,16,15,14
134,12,41,49
135,13,44,40
136,11,28,29
137,28,24,50
138,25,37,35
139,50,10,22
140,32,10,37
141,27,14,19
142,37,19,24
143,13,18,11
144,22,49,49
145,24,37,51
146,9,32,27
147,27,49,48
148,16,21,21
149,25,18,28
150,21,32,39
151,7,19,33
152,21,29,41
153,27,14,22
154,32,33,38
155,33,24,33
156,15,20,43
157,18,17,18
158,34,11,15
159,17,36,35
160,10,19,31
161,55,27,48
162,12,30,19
163,13,17,36
164,21,26,25
165,28,36,18
166,20,23,23
167,36,13,18
168,20,42,51
169,11,41,34
170,24,31,34
171,35,43,34
172,43,49,19
173,22,19,14
174,32,45,21
175,10,13,34
176,45,22,16
177,14,17,31
178,14,43,15
179,17,23,33
180,25,18,27
181,20,27,33
182,63,11,41
183,24,34,32
184,33,40,21
185,14,32,18
186,22,26,15
187,32,14,32
188,12,13,50
189,18,25,22
190,30,12,48
191,23,48,50
192,12,30,19
193,34,32,15
194,14,10,20
195,36,24,21
196,32,43,55
197,12,24,31
198,14,15,44
199,21,19,57
