Time(Iteration),UCB1,egreedy_0.1,OurAlgorithm
0,2739,2715,2707
1,2527,2481,2868
2,2495,2429,2918
3,2496,2500,2678
4,2493,2490,2631
5,2529,2509,2648
6,2497,2448,2636
7,2575,2517,2603
8,2517,2537,2576
9,2541,2535,2628
10,2554,2524,2578
11,2529,2521,2567
12,2535,2525,2601
13,2574,2545,2567
14,2552,2506,2631
15,2583,2529,2573
16,2577,2499,2598
17,2641,2500,2573
18,2604,2503,2558
19,2595,2513,2575
20,2600,2537,2581
21,2595,2490,2606
22,2640,2505,2600
23,2564,2494,2574
24,2551,2527,2561
25,2616,2544,2546
26,2613,2546,2607
27,2652,2497,2596
28,2634,2532,2614
29,2670,2533,2594
30,2637,2552,2542
31,2664,2552,2591
32,2678,2502,2585
33,2692,2526,2621
34,2703,2510,2578
35,2655,2531,2574
36,2703,2547,2615
37,2636,2531,2569
38,2655,2483,2611
39,2670,2533,2607
40,2610,2532,2584
41,2661,2549,2589
42,2598,2515,2540
43,2655,2519,2637
44,2677,2558,2561
45,2677,2498,2575
46,2655,2544,2562
47,2630,2480,2580
48,2679,2591,2567
49,2659,2504,2601
50,2622,2538,2595
51,2626,2539,2576
52,2620,2527,2584
53,2651,2552,2600
54,2650,2558,2593
55,2645,2529,2615
56,2682,2549,2580
57,2638,2553,2580
58,2650,2537,2611
59,2643,2522,2585
60,2665,2557,2596
61,2611,2551,2575
62,2643,2559,2566
63,2640,2542,2594
64,2604,2569,2527
65,2662,2563,2622
66,2684,2555,2567
67,2668,2531,2543
68,2613,2542,2609
69,2618,2556,2574
70,2647,2588,2577
71,2667,2534,2579
72,2660,2560,2578
73,2655,2566,2599
74,2654,2538,2594
75,2606,2550,2551
76,2622,2573,2557
77,2618,2566,2578
78,2683,2569,2588
79,2659,2588,2592
80,2701,2564,2528
81,2639,2552,2564
82,2573,2515,2573
83,2624,2522,2582
84,2667,2547,2575
85,2655,2542,2587
86,2662,2517,2588
87,2673,2572,2605
88,2635,2542,2574
89,2622,2569,2601
90,2659,2563,2582
91,2649,2551,2597
92,2620,2569,2558
93,2670,2520,2605
94,2686,2534,2589
95,2646,2537,2559
96,2647,2578,2604
97,2600,2511,2596
98,2670,2575,2602
99,2568,2551,2545
100,2657,2540,2594
101,2609,2530,2520
102,2673,2540,2566
103,2677,2547,2556
104,2617,2559,2530
105,2693,2525,2593
106,2661,2541,2578
107,2616,2591,2675
108,2610,2555,2594
109,2637,2568,2560
110,2664,2521,2614
111,2653,2557,2570
112,2655,2525,2586
113,2665,2562,2585
114,2655,2562,2584
115,2653,2547,2543
116,2693,2560,2553
117,2669,2529,2598
118,2608,2582,2627
119,2633,2519,2527
120,2642,2545,2572
121,2657,2562,2584
122,2683,2577,2598
123,2657,2539,2563
124,2637,2515,2547
125,2675,2534,2570
126,2656,2536,2557
127,2650,2551,2600
128,2667,2581,2584
129,2645,2560,2589
130,2680,2566,2537
131,2664,2546,2590
132,2668,2547,2570
133,2613,2522,2615
134,2652,2552,2575
135,2620,2522,2613
136,2646,2556,2568
137,2622,2564,2613
138,2665,2570,2596
139,2650,2579,2581
140,2675,2559,2570
141,2610,2528,2617
142,2648,2537,2596
143,2649,2583,2589
144,2650,2547,2572
145,2652,2607,2574
146,2631,2597,2636
147,2676,2528,2624
148,2609,2521,2584
149,2670,2602,2586
150,2683,2558,2539
151,2652,2556,2587
152,2673,2525,2550
153,2640,2572,2572
154,2700,2557,2576
155,2655,2567,2560
156,2662,2535,2580
157,2606,2547,2584
158,2638,2581,2594
159,2620,2618,2590
160,2649,2566,2563
161,2617,2551,2577
162,2667,2565,2579
163,2651,2542,2598
164,2695,2614,2517
165,2644,2544,2564
166,2625,2576,2548
167,2655,2592,2575
168,2643,2607,2557
169,2654,2555,2597
170,2608,2532,2572
171,2668,2536,2626
172,2673,2563,2607
173,2623,2594,2568
174,2667,2581,2595
175,2670,2604,2563
176,2661,2621,2591
177,2642,2525,2555
178,2642,2576,2606
179,2672,2587,2540
180,2656,2581,2573
181,2648,2595,2578
182,2662,2585,2595
183,2676,2572,2544
184,2597,2550,2598
185,2653,2515,2581
186,2635,2575,2601
187,2690,2589,2589
188,2667,2616,2596
189,2656,2585,2546
190,2646,2552,2567
191,2704,2587,2581
192,2702,2559,2585
193,2649,2546,2588
194,2641,2574,2583
195,2665,2590,2613
196,2629,2600,2561
197,2658,2523,2580
198,2617,2592,2609
199,2637,2551,2592
