Time(Iteration),UCB1,egreedy_0.1,IMFB
0,32.0,98.0,105.0
1,118.0,38.0,116.0
2,41.0,129.0,37.0
3,118.0,130.0,34.0
4,43.0,44.0,42.0
5,120.0,39.0,94.0
6,127.0,113.0,112.0
7,115.0,41.0,103.0
8,108.0,40.0,43.0
9,43.0,46.0,36.0
10,112.0,36.0,37.0
11,42.0,42.0,35.0
12,46.0,41.0,104.0
13,122.0,43.0,41.0
14,122.0,42.0,122.0
15,129.0,39.0,39.0
16,41.0,36.0,124.0
17,45.0,42.0,36.0
18,117.0,44.0,117.0
19,122.0,42.0,39.0
20,113.0,41.0,37.0
21,116.0,48.0,37.0
22,38.0,44.0,40.0
23,40.0,123.0,41.0
24,129.0,38.0,33.0
25,119.0,37.0,122.0
26,120.0,36.0,35.0
27,42.0,40.0,37.0
28,41.0,42.0,43.0
29,41.0,37.0,39.0
30,115.0,45.0,37.0
31,117.0,41.0,44.0
32,45.0,41.0,44.0
33,119.0,38.0,116.0
34,115.0,40.0,42.0
35,124.99999999999999,118.0,39.0
36,37.0,47.0,40.0
37,46.0,114.0,38.0
38,122.0,128.0,38.0
39,124.99999999999999,39.0,30.0
40,127.0,37.0,38.0
41,106.0,39.0,122.0
42,119.0,41.0,40.0
43,127.0,38.0,108.0
44,123.0,33.0,40.0
45,118.0,36.0,41.0
46,120.0,106.0,40.0
47,128.0,46.0,113.0
48,122.0,43.0,43.0
49,133.0,41.0,37.0
50,121.0,38.0,40.0
51,43.0,40.0,123.0
52,107.0,43.0,40.0
53,121.0,45.0,41.0
54,112.0,128.0,36.0
55,123.0,42.0,41.0
56,134.0,120.0,39.0
57,112.0,113.0,39.0
58,45.0,42.0,42.0
59,123.0,37.0,36.0
60,120.0,40.0,128.0
61,133.0,41.0,44.0
62,116.0,40.0,45.0
63,46.0,35.0,122.0
64,136.0,45.0,41.0
65,43.0,113.0,38.0
66,124.0,39.0,39.0
67,116.0,39.0,40.0
68,119.0,106.0,39.0
69,119.0,40.0,38.0
70,38.0,124.99999999999999,47.0
71,42.0,41.0,128.0
72,130.0,39.0,44.0
73,44.0,40.0,42.0
74,44.0,124.0,41.0
75,114.0,122.0,41.0
76,127.0,39.0,115.0
77,132.0,100.0,107.0
78,46.0,113.0,43.0
79,39.0,43.0,42.0
80,123.0,41.0,39.0
81,124.0,45.0,35.0
82,123.0,39.0,40.0
83,131.0,124.0,35.0
84,122.0,43.0,44.0
85,132.0,33.0,44.0
86,47.0,43.0,45.0
87,119.0,43.0,36.0
88,45.0,41.0,39.0
89,126.0,40.0,43.0
90,130.0,122.0,37.0
91,136.0,40.0,41.0
92,124.99999999999999,38.0,38.0
93,38.0,37.0,37.0
94,47.0,39.0,45.0
95,119.0,44.0,42.0
96,122.0,35.0,43.0
97,115.0,43.0,39.0
98,42.0,44.0,44.0
99,127.0,41.0,38.0
100,136.0,35.0,46.0
101,117.0,40.0,44.0
102,124.0,38.0,39.0
103,120.0,49.0,40.0
104,44.0,41.0,40.0
105,127.0,41.0,39.0
106,130.0,126.0,132.0
107,124.99999999999999,37.0,38.0
108,110.00000000000001,42.0,126.0
109,119.0,36.0,37.0
110,114.0,38.0,40.0
111,126.0,37.0,39.0
112,42.0,33.0,41.0
113,130.0,35.0,39.0
114,46.0,42.0,35.0
115,110.99999999999999,36.0,122.0
116,120.0,35.0,42.0
117,48.0,35.0,41.0
118,124.0,114.0,38.0
119,47.0,126.0,42.0
120,120.0,34.0,40.0
121,43.0,116.0,42.0
122,117.0,36.0,40.0
123,124.99999999999999,36.0,43.0
124,133.0,35.0,42.0
125,130.0,33.0,37.0
126,42.0,43.0,43.0
127,44.0,44.0,42.0
128,110.00000000000001,45.0,42.0
129,126.0,36.0,44.0
130,44.0,38.0,124.0
131,122.0,36.0,41.0
132,127.0,116.0,122.0
133,130.0,36.0,42.0
134,127.0,39.0,37.0
135,43.0,47.0,39.0
136,40.0,39.0,43.0
137,45.0,43.0,43.0
138,119.0,40.0,43.0
139,126.0,38.0,42.0
140,126.0,42.0,122.0
141,41.0,36.0,39.0
142,126.0,46.0,39.0
143,124.0,40.0,36.0
144,43.0,38.0,135.0
145,42.0,38.0,39.0
146,120.0,42.0,37.0
147,122.0,42.0,40.0
148,47.0,37.0,123.0
149,46.0,38.0,43.0
150,44.0,115.0,44.0
151,42.0,40.0,34.0
152,119.0,39.0,39.0
153,44.0,40.0,33.0
154,112.0,43.0,41.0
155,113.0,45.0,40.0
156,43.0,44.0,40.0
157,124.99999999999999,36.0,45.0
158,44.0,110.99999999999999,43.0
159,120.0,36.0,44.0
160,122.0,34.0,36.0
161,132.0,29.0,35.0
162,42.0,33.0,39.0
163,127.0,43.0,39.0
164,46.0,38.0,47.0
165,121.0,121.0,44.0
166,121.0,45.0,38.0
167,47.0,119.0,43.0
168,45.0,127.0,43.0
169,43.0,37.0,123.0
