Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,98.0,93.0,38.0,110.99999999999999
1,31.0,36.0,40.0,124.0
2,32.0,42.0,40.0,101.0
3,37.0,42.0,104.0,37.0
4,44.0,35.0,38.0,102.0
5,116.0,109.0,113.0,110.00000000000001
6,113.0,123.0,115.0,117.0
7,127.0,46.0,39.0,123.0
8,105.0,34.0,118.0,99.0
9,123.0,114.0,112.0,42.0
10,128.0,40.0,38.0,34.0
11,127.0,131.0,112.0,115.0
12,110.99999999999999,43.0,42.0,124.0
13,105.0,38.0,98.0,123.0
14,110.99999999999999,40.0,107.0,42.0
15,113.0,39.0,108.0,43.0
16,42.0,122.0,106.0,108.0
17,45.0,123.0,41.0,44.0
18,106.0,41.0,106.0,120.0
19,117.0,40.0,37.0,45.0
20,127.0,40.0,105.0,112.0
21,44.0,35.0,36.0,41.0
22,133.0,40.0,37.0,39.0
23,118.0,40.0,127.0,121.0
24,44.0,127.0,39.0,39.0
25,46.0,33.0,106.0,121.0
26,48.0,121.0,115.0,40.0
27,113.0,37.0,106.0,40.0
28,126.0,39.0,38.0,101.0
29,43.0,34.0,38.0,41.0
30,48.0,121.0,37.0,122.0
31,46.0,35.0,122.0,116.0
32,118.0,42.0,106.0,122.0
33,43.0,117.0,107.0,42.0
34,122.0,43.0,116.0,119.0
35,117.0,116.0,105.0,41.0
36,113.0,110.00000000000001,39.0,123.0
37,124.0,34.0,118.0,121.0
38,43.0,124.99999999999999,37.0,121.0
39,106.0,130.0,37.0,120.0
40,44.0,115.0,107.0,40.0
41,44.0,44.0,37.0,122.0
42,124.0,39.0,34.0,42.0
43,127.0,36.0,118.0,42.0
44,41.0,116.0,41.0,43.0
45,38.0,43.0,106.0,46.0
46,128.0,110.00000000000001,110.00000000000001,126.0
47,47.0,121.0,99.0,40.0
48,115.0,109.0,105.0,118.0
49,122.0,44.0,39.0,35.0
50,49.0,110.99999999999999,114.0,42.0
51,43.0,45.0,107.0,43.0
52,41.0,41.0,105.0,119.0
53,114.0,117.0,115.0,121.0
54,133.0,40.0,103.0,36.0
55,47.0,38.0,107.0,127.0
56,136.0,126.0,101.0,124.0
57,110.99999999999999,41.0,115.0,39.0
58,45.0,36.0,120.0,115.0
59,118.0,40.0,110.99999999999999,38.0
60,109.0,40.0,105.0,45.0
61,112.0,35.0,38.0,120.0
62,44.0,126.0,42.0,43.0
63,126.0,39.0,40.0,110.99999999999999
64,120.0,117.0,41.0,126.0
65,45.0,39.0,37.0,118.0
66,124.99999999999999,43.0,124.0,45.0
67,124.0,36.0,109.0,42.0
68,41.0,115.0,39.0,129.0
69,127.0,35.0,40.0,115.0
70,112.0,40.0,40.0,44.0
71,46.0,122.0,42.0,122.0
72,115.0,119.0,114.0,116.0
73,118.0,40.0,119.0,122.0
74,121.0,103.0,42.0,39.0
75,43.0,36.0,106.0,42.0
76,119.0,130.0,114.0,118.0
77,129.0,39.0,109.0,40.0
78,41.0,40.0,103.0,120.0
79,128.0,36.0,127.0,38.0
80,118.0,124.0,39.0,43.0
81,118.0,127.0,42.0,115.0
82,119.0,39.0,110.99999999999999,129.0
83,109.0,124.0,105.0,117.0
84,132.0,116.0,97.0,40.0
85,121.0,43.0,99.0,39.0
86,45.0,34.0,41.0,37.0
87,123.0,43.0,109.0,113.0
88,42.0,39.0,38.0,44.0
89,128.0,32.0,38.0,109.0
90,116.0,37.0,38.0,45.0
91,115.0,33.0,112.0,40.0
92,122.0,40.0,117.0,108.0
93,138.0,110.00000000000001,40.0,121.0
94,134.0,118.0,103.0,124.0
95,117.0,123.0,113.0,42.0
96,40.0,41.0,119.0,43.0
97,133.0,39.0,40.0,37.0
98,121.0,112.0,110.00000000000001,39.0
99,123.0,42.0,37.0,124.0
100,130.0,113.0,109.0,36.0
101,130.0,37.0,124.0,37.0
102,122.0,121.0,39.0,118.0
103,122.0,37.0,110.99999999999999,39.0
104,121.0,42.0,39.0,37.0
105,124.99999999999999,36.0,45.0,116.0
106,119.0,40.0,35.0,43.0
107,126.0,41.0,41.0,121.0
108,130.0,41.0,40.0,124.0
109,39.0,117.0,43.0,113.0
110,129.0,113.0,103.0,41.0
111,117.0,37.0,42.0,116.0
112,113.0,40.0,39.0,40.0
113,43.0,40.0,43.0,36.0
114,127.0,43.0,107.0,109.0
115,136.0,32.0,104.0,123.0
116,113.0,31.0,38.0,36.0
117,42.0,34.0,118.0,45.0
118,107.0,42.0,117.0,45.0
119,131.0,122.0,109.0,107.0
120,45.0,34.0,116.0,124.99999999999999
121,40.0,116.0,113.0,39.0
122,39.0,42.0,43.0,43.0
123,117.0,41.0,39.0,118.0
124,121.0,40.0,114.0,40.0
125,124.0,41.0,39.0,110.00000000000001
126,116.0,44.0,43.0,119.0
127,110.00000000000001,40.0,117.0,41.0
128,118.0,44.0,105.0,117.0
129,45.0,127.0,107.0,37.0
130,127.0,43.0,121.0,116.0
131,134.0,39.0,97.0,41.0
132,143.0,110.99999999999999,124.0,39.0
133,118.0,123.0,119.0,122.0
134,118.0,45.0,106.0,42.0
135,123.0,43.0,122.0,119.0
136,117.0,110.00000000000001,45.0,115.0
137,43.0,43.0,109.0,110.99999999999999
138,121.0,40.0,42.0,126.0
139,116.0,35.0,39.0,45.0
140,137.0,33.0,105.0,116.0
141,116.0,35.0,110.00000000000001,35.0
142,122.0,113.0,102.0,41.0
143,113.0,44.0,38.0,124.99999999999999
144,46.0,109.0,44.0,118.0
145,112.0,36.0,109.0,42.0
146,42.0,36.0,104.0,117.0
147,124.99999999999999,117.0,41.0,34.0
148,136.0,32.0,38.0,120.0
149,120.0,36.0,40.0,45.0
150,47.0,43.0,116.0,43.0
151,44.0,31.0,106.0,123.0
152,124.0,43.0,118.0,40.0
153,48.0,123.0,104.0,120.0
154,117.0,41.0,107.0,124.0
155,38.0,37.0,119.0,126.0
156,118.0,37.0,40.0,44.0
157,42.0,39.0,35.0,34.0
158,115.0,43.0,39.0,124.0
159,121.0,43.0,109.0,38.0
160,41.0,44.0,110.00000000000001,43.0
161,114.0,42.0,42.0,120.0
162,109.0,43.0,119.0,42.0
163,120.0,42.0,43.0,126.0
164,123.0,42.0,105.0,123.0
165,117.0,46.0,106.0,43.0
166,114.0,40.0,124.99999999999999,105.0
167,127.0,110.99999999999999,41.0,118.0
168,119.0,34.0,37.0,116.0
169,127.0,114.0,110.99999999999999,120.0
170,123.0,35.0,126.0,127.0
171,121.0,41.0,105.0,116.0
172,116.0,106.0,102.0,46.0
173,44.0,41.0,106.0,39.0
174,44.0,118.0,112.0,124.99999999999999
175,124.0,46.0,112.0,115.0
176,115.0,128.0,127.0,121.0
177,124.0,44.0,102.0,116.0
178,127.0,37.0,108.0,38.0
179,120.0,39.0,104.0,126.0
180,43.0,39.0,124.0,117.0
181,118.0,46.0,107.0,131.0
182,126.0,42.0,120.0,110.99999999999999
183,129.0,126.0,110.00000000000001,46.0
184,47.0,115.0,113.0,39.0
185,49.0,40.0,39.0,122.0
186,115.0,42.0,40.0,42.0
187,124.99999999999999,39.0,37.0,118.0
188,44.0,40.0,121.0,41.0
189,121.0,33.0,40.0,124.99999999999999
190,123.0,36.0,109.0,42.0
191,122.0,43.0,103.0,117.0
192,102.0,40.0,113.0,110.00000000000001
193,48.0,41.0,110.99999999999999,44.0
194,121.0,41.0,106.0,40.0
195,42.0,40.0,38.0,118.0
196,117.0,109.0,110.99999999999999,40.0
197,113.0,39.0,103.0,112.0
198,47.0,37.0,108.0,110.99999999999999
199,119.0,110.00000000000001,99.0,119.0
