Time(Iteration),UCB1,egreedy_0.1,LinUCB,IMFB
0,95.99999999999999,37.0,121.0,138.0
1,124.0,38.0,36.0,97.0
2,114.0,123.0,124.0,34.0
3,38.0,43.0,36.0,34.0
4,38.0,40.0,41.0,45.0
5,110.00000000000001,36.0,110.00000000000001,115.0
6,38.0,41.0,113.0,38.0
7,117.0,31.0,106.0,41.0
8,46.0,44.0,95.00000000000001,105.0
9,116.0,34.0,38.0,117.0
10,42.0,113.0,101.0,124.99999999999999
11,122.0,38.0,112.0,126.0
12,43.0,36.0,112.0,38.0
13,39.0,116.0,44.0,39.0
14,41.0,34.0,115.0,45.0
15,110.99999999999999,47.0,41.0,107.0
16,43.0,109.0,114.0,35.0
17,138.0,40.0,103.0,113.0
18,127.0,44.0,112.0,115.0
19,41.0,31.0,41.0,115.0
20,105.0,35.0,121.0,127.0
21,41.0,114.0,113.0,40.0
22,130.0,43.0,39.0,40.0
23,43.0,42.0,46.0,42.0
24,121.0,115.0,35.0,36.0
25,110.99999999999999,37.0,117.0,119.0
26,106.0,123.0,99.0,36.0
27,45.0,118.0,39.0,43.0
28,122.0,42.0,110.99999999999999,123.0
29,124.0,42.0,37.0,119.0
30,127.0,44.0,39.0,109.0
31,114.0,36.0,112.0,113.0
32,44.0,41.0,41.0,43.0
33,38.0,40.0,31.0,115.0
34,117.0,35.0,36.0,108.0
35,116.0,41.0,110.99999999999999,113.0
36,47.0,41.0,105.0,114.0
37,122.0,37.0,109.0,110.00000000000001
38,124.99999999999999,121.0,116.0,120.0
39,119.0,41.0,38.0,116.0
40,117.0,40.0,35.0,110.00000000000001
41,44.0,40.0,110.99999999999999,101.0
42,124.99999999999999,42.0,95.99999999999999,127.0
43,44.0,42.0,40.0,113.0
44,119.0,124.0,115.0,41.0
45,113.0,42.0,40.0,120.0
46,114.0,38.0,95.99999999999999,126.0
47,113.0,42.0,110.00000000000001,46.0
48,39.0,36.0,41.0,107.0
49,43.0,34.0,36.0,46.0
50,110.99999999999999,128.0,128.0,110.99999999999999
51,109.0,41.0,35.0,38.0
52,43.0,131.0,112.0,41.0
53,114.0,42.0,35.0,124.99999999999999
54,123.0,120.0,122.0,117.0
55,43.0,30.0,41.0,114.0
56,110.99999999999999,38.0,115.0,123.0
57,37.0,40.0,43.0,113.0
58,104.0,44.0,104.0,41.0
59,115.0,128.0,112.0,40.0
60,122.0,38.0,113.0,43.0
61,119.0,134.0,37.0,38.0
62,40.0,110.99999999999999,34.0,43.0
63,41.0,43.0,40.0,116.0
64,108.0,40.0,40.0,43.0
65,45.0,39.0,38.0,41.0
66,34.0,40.0,40.0,42.0
67,120.0,37.0,43.0,44.0
68,126.0,45.0,110.99999999999999,37.0
69,47.0,112.0,36.0,44.0
70,37.0,41.0,44.0,103.0
71,118.0,116.0,112.0,119.0
72,128.0,118.0,106.0,40.0
73,121.0,41.0,43.0,40.0
74,37.0,41.0,104.0,113.0
75,37.0,122.0,39.0,38.0
76,138.0,123.0,120.0,42.0
77,122.0,45.0,40.0,41.0
78,40.0,106.0,36.0,112.0
79,110.00000000000001,42.0,113.0,45.0
80,106.0,41.0,37.0,41.0
81,127.0,37.0,37.0,38.0
82,106.0,114.0,39.0,103.0
83,119.0,42.0,109.0,126.0
84,41.0,41.0,45.0,45.0
85,120.0,42.0,112.0,114.0
86,116.0,38.0,109.0,123.0
87,110.00000000000001,120.0,112.0,43.0
88,39.0,38.0,106.0,112.0
89,47.0,42.0,107.0,127.0
90,119.0,38.0,124.0,115.0
91,38.0,37.0,37.0,37.0
92,114.0,37.0,35.0,114.0
93,45.0,35.0,40.0,39.0
94,123.0,119.0,42.0,118.0
95,130.0,38.0,110.00000000000001,41.0
96,124.0,124.0,116.0,124.99999999999999
97,110.00000000000001,34.0,104.0,113.0
98,44.0,38.0,113.0,34.0
99,42.0,43.0,42.0,46.0
100,44.0,44.0,39.0,40.0
101,120.0,35.0,38.0,41.0
102,43.0,40.0,95.00000000000001,44.0
103,108.0,42.0,121.0,46.0
104,122.0,112.0,112.0,46.0
105,127.0,38.0,116.0,35.0
106,113.0,110.99999999999999,34.0,35.0
107,132.0,37.0,107.0,44.0
108,38.0,38.0,110.99999999999999,118.0
109,122.0,37.0,41.0,116.0
110,121.0,36.0,36.0,42.0
111,43.0,124.0,109.0,43.0
112,39.0,40.0,120.0,42.0
113,124.99999999999999,123.0,118.0,38.0
114,39.0,37.0,105.0,40.0
115,120.0,39.0,39.0,112.0
116,119.0,42.0,104.0,110.99999999999999
117,40.0,39.0,101.0,115.0
118,46.0,42.0,40.0,45.0
119,128.0,41.0,109.0,116.0
120,120.0,33.0,31.0,107.0
121,105.0,36.0,45.0,122.0
122,41.0,44.0,41.0,44.0
123,114.0,35.0,110.99999999999999,42.0
124,126.0,36.0,40.0,41.0
125,41.0,35.0,33.0,39.0
126,37.0,113.0,39.0,38.0
127,124.0,41.0,122.0,44.0
128,39.0,41.0,116.0,43.0
129,116.0,34.0,42.0,39.0
130,36.0,45.0,33.0,43.0
131,44.0,36.0,40.0,41.0
132,130.0,113.0,40.0,42.0
133,109.0,110.00000000000001,38.0,38.0
134,40.0,41.0,37.0,119.0
135,38.0,40.0,41.0,42.0
136,110.00000000000001,46.0,37.0,127.0
137,116.0,43.0,110.99999999999999,42.0
138,122.0,44.0,38.0,39.0
139,107.0,33.0,37.0,46.0
140,124.99999999999999,35.0,33.0,37.0
141,42.0,39.0,115.0,39.0
142,40.0,117.0,39.0,121.0
143,114.0,32.0,37.0,39.0
144,44.0,39.0,40.0,39.0
145,119.0,126.0,110.99999999999999,44.0
146,44.0,109.0,97.0,39.0
147,120.0,44.0,104.0,122.0
148,122.0,37.0,41.0,39.0
149,126.0,41.0,42.0,105.0
150,41.0,40.0,38.0,126.0
151,129.0,44.0,45.0,124.0
152,40.0,41.0,35.0,45.0
153,121.0,128.0,44.0,38.0
154,42.0,128.0,40.0,42.0
155,115.0,39.0,121.0,41.0
156,46.0,37.0,110.99999999999999,41.0
157,39.0,110.00000000000001,106.0,41.0
158,108.0,37.0,100.0,40.0
159,107.0,133.0,36.0,110.00000000000001
160,120.0,43.0,42.0,110.99999999999999
161,39.0,107.0,45.0,42.0
162,114.0,42.0,31.0,46.0
163,117.0,121.0,108.0,134.0
164,123.0,38.0,34.0,124.99999999999999
165,133.0,41.0,118.0,120.0
166,127.0,41.0,107.0,42.0
167,43.0,43.0,36.0,41.0
168,46.0,43.0,103.0,43.0
169,40.0,115.0,116.0,43.0
170,123.0,37.0,129.0,117.0
171,41.0,124.99999999999999,117.0,39.0
172,46.0,38.0,38.0,41.0
173,41.0,36.0,41.0,124.0
174,41.0,120.0,108.0,135.0
175,38.0,118.0,115.0,40.0
176,113.0,129.0,97.0,121.0
177,46.0,37.0,39.0,38.0
178,41.0,37.0,120.0,41.0
179,38.0,39.0,36.0,36.0
180,121.0,129.0,38.0,43.0
181,41.0,41.0,114.0,42.0
182,41.0,38.0,116.0,124.0
183,44.0,113.0,40.0,122.0
184,43.0,110.99999999999999,88.0,41.0
185,43.0,45.0,108.0,117.0
186,131.0,38.0,38.0,110.99999999999999
187,45.0,38.0,124.0,40.0
188,127.0,118.0,45.0,39.0
189,110.00000000000001,42.0,42.0,123.0
190,126.0,35.0,46.0,40.0
191,127.0,32.0,112.0,46.0
192,38.0,119.0,41.0,124.0
193,105.0,39.0,117.0,39.0
194,127.0,38.0,40.0,120.0
195,41.0,115.0,36.0,119.0
196,119.0,43.0,107.0,113.0
197,41.0,32.0,112.0,40.0
198,44.0,42.0,122.0,40.0
199,47.0,115.0,120.0,45.0
