1,2.0,0,3.0,0
2,0,0,3.0,2.0
3,2.0,0,10.0,2.0
4,0,4.0,3.0,0
5,0,2.0,0,2.0
6,3.0,0,0,4.0
7,3.0,0,9.0,3.0
8,0,0,0,2.0
9,0,2.0,0,0
10,0,4.0,0,0
11,3.0,3.0,0,3.0
12,0,3.0,3.0,0
13,4.0,4.0,4.0,2.0
14,0,0,0,0
15,11.0,3.0,3.0,2.0
16,0,0,0,0
17,0,17.0,0,3.0
18,0,0,0,2.0
19,2.0,0,0,3.0
20,3.0,4.0,5.0,0
21,3.0,3.0,0,3.0
22,3.0,0,0,3.0
23,0,3.0,3.0,3.0
24,0,0,0,3.0
25,0,0,3.0,0
26,4.0,13.0,3.0,0
27,2.0,2.0,0,0
28,3.0,0,5.0,8.0
29,2.0,4.0,0,4.0
30,0,0,0,0
31,0,3.0,0,0
32,3.0,3.0,0,3.0
33,0,0,2.0,3.0
34,3.0,4.0,4.0,7.0
35,3.0,3.0,0,3.0
36,4.0,2.0,0,3.0
37,3.0,0,2.0,3.0
38,3.0,0,3.0,0
39,0,3.0,0,0
40,0,2.0,0,5.0
41,0,4.0,3.0,2.0
42,4.0,0,4.0,0
43,2.0,3.0,3.0,0
44,3.0,3.0,3.0,4.0
45,0,0,3.0,3.0
46,3.0,2.0,0,0
47,3.0,9.0,6.0,3.0
48,0,3.0,0,0
49,3.0,2.0,0,0
50,0,3.0,0,0
51,2.0,0,2.0,0
52,0,2.0,0,0
53,2.0,0,0,0
54,3.0,6.0,2.0,3.0
55,0,3.0,3.0,3.0
56,0,0,3.0,2.0
57,3.0,0,6.0,3.0
58,0,3.0,0,2.0
59,0,3.0,3.0,5.0
60,4.0,2.0,3.0,3.0
61,0,5.0,0,3.0
62,4.0,0,0,4.0
63,0,4.0,4.0,0
64,0,0,0,0
65,14.000000000000002,5.0,3.0,2.0
66,4.0,0,7.0,0
67,4.0,0,0,3.0
68,5.0,6.0,2.0,0
69,0,0,0,6.0
70,2.0,0,3.0,0
71,3.0,3.0,6.0,0
72,0,0,0,0
73,0,3.0,0,0
74,2.0,0,3.0,3.0
75,3.0,4.0,0,0
76,4.0,3.0,3.0,4.0
77,3.0,3.0,3.0,2.0
78,3.0,0,0,2.0
79,0,3.0,0,2.0
80,5.0,3.0,0,2.0
81,3.0,0,0,3.0
82,0,0,4.0,0
83,0,0,5.0,0
84,0,0,0,3.0
85,2.0,0,0,3.0
86,3.0,0,4.0,8.0
87,15.0,3.0,3.0,0
88,2.0,4.0,0,3.0
89,0,3.0,2.0,6.0
90,2.0,0,0,5.0
91,4.0,2.0,3.0,0
92,4.0,3.0,4.0,0
93,3.0,3.0,0,4.0
94,0,3.0,3.0,0
95,3.0,3.0,5.0,0
96,3.0,0,0,3.0
97,2.0,0,0,3.0
98,11.0,4.0,3.0,0
99,0,0,3.0,3.0
100,3.0,0,2.0,3.0
101,3.0,0,3.0,0
102,4.0,2.0,2.0,3.0
103,3.0,0,0,2.0
104,0,0,3.0,3.0
105,3.0,2.0,3.0,5.0
106,3.0,3.0,3.0,0
107,0,4.0,3.0,3.0
108,0,9.0,0,3.0
109,7.0,3.0,4.0,3.0
110,5.0,2.0,2.0,3.0
111,2.0,0,6.0,0
112,3.0,0,0,0
113,10.0,4.0,4.0,3.0
114,0,3.0,3.0,0
115,2.0,0,0,0
116,3.0,3.0,0,5.0
117,0,0,0,0
118,0,0,4.0,2.0
119,3.0,0,3.0,4.0
120,5.0,0,6.0,3.0
121,0,2.0,7.0,0
122,0,2.0,0,2.0
123,3.0,3.0,0,4.0
124,0,4.0,10.0,2.0
125,4.0,0,3.0,0
126,0,0,5.0,0
127,3.0,3.0,0,4.0
128,3.0,4.0,4.0,9.0
129,4.0,0,3.0,0
130,5.0,0,0,8.0
131,0,5.0,0,2.0
132,0,2.0,0,0
