10,28,25,33,13
11,22,27,13,27
12,12,44,12,41
13,48,15,19,21
14,34,30,18,34
15,26,25,39,27
16,18,30,13,12
17,27,24,19,34
18,19,28,38,28
19,19,13,20,15
20,32,15,17,24
21,23,35,22,16
22,26,33,14,14
23,14,23,44,52
24,31,30,20,22
25,31,39,19,18
26,10,21,36,36
27,24,13,16,21
28,24,20,16,57
29,71,11,14,30
30,41,16,49,29
31,20,25,15,37
32,44,36,14,19
33,31,36,19,29
34,19,18,28,15
35,39,36,32,37
36,22,47,44,22
37,21,40,13,16
38,23,43,36,16
39,41,14,13,13
40,23,15,13,55
41,30,40,16,26
42,26,51,15,23
43,25,17,18,16
44,11,19,31,13
45,28,33,15,15
46,22,24,17,13
47,33,56,16,11
48,11,30,26,41
49,14,36,19,22
50,23,26,19,13
51,20,22,14,13
52,12,13,21,34
53,30,34,52,17
54,16,14,20,12
55,37,17,28,20
56,19,30,41,24
57,19,44,13,20
58,14,15,15,30
59,15,29,13,22
60,14,48,37,32
61,24,20,41,29
62,10,20,42,10
63,12,32,17,21
64,39,50,23,25
65,29,65,10,23
66,16,15,30,25
67,27,20,14,51
68,47,34,19,22
69,16,51,41,23
70,14,35,22,34
71,11,19,29,18
72,15,33,17,28
73,22,30,46,42
74,31,33,15,19
75,29,52,20,16
76,13,25,62,32
77,14,26,31,19
78,32,10,21,22
79,17,11,14,25
80,31,30,12,15
81,30,15,28,22
82,33,14,53,18
83,29,23,28,16
84,26,37,45,27
85,15,28,25,33
86,41,32,17,41
87,35,33,22,33
88,13,32,36,30
89,34,20,19,54
90,13,62,47,19
91,38,44,36,18
92,18,26,28,15
93,24,60,15,23
94,16,20,34,23
95,37,52,27,30
96,17,21,61,11
97,46,18,13,31
98,36,24,32,34
99,23,36,14,22
100,43,38,11,32
101,26,22,25,20
102,37,12,37,71
103,23,18,33,23
104,28,38,13,25
105,18,19,36,61
106,34,25,38,23
107,16,26,20,26
108,21,18,37,43
109,15,28,25,30
110,37,18,18,19
111,19,31,38,17
112,21,26,21,21
113,10,18,30,15
114,25,17,22,47
115,29,13,30,29
116,19,13,39,29
117,18,12,16,15
118,36,30,17,25
119,27,40,16,34
120,43,11,12,37
121,14,15,27,27
122,37,33,44,34
123,27,21,29,37
124,20,11,14,20
125,26,36,36,16
126,23,12,18,27
127,42,33,41,18
128,56,19,32,36
129,30,35,21,14
130,10,38,18,22
131,12,28,41,53
132,16,28,33,32
133,43,34,23,13
134,27,19,19,20
135,30,18,26,24
136,36,13,53,18
137,20,33,24,22
138,35,29,20,13
139,20,19,33,21
140,31,17,16,14
141,24,21,62,34
142,31,12,28,14
143,14,25,18,21
144,18,16,38,40
145,24,46,16,28
146,26,21,18,17
147,31,35,19,19
148,21,19,18,43
149,39,36,18,21
150,34,39,21,19
151,28,46,15,23
152,18,24,41,26
153,19,19,21,20
154,17,34,17,22
155,18,51,16,13
156,68,25,18,37
157,25,22,20,33
158,19,38,23,32
159,11,24,24,25
160,21,13,17,24
161,23,19,23,34
162,19,24,29,30
163,35,24,33,17
164,21,12,47,15
165,35,22,16,37
166,27,33,19,42
167,35,21,12,30
168,28,29,27,35
169,21,39,19,22
170,20,29,67,27
171,23,29,18,65
172,17,22,16,41
173,20,45,30,28
174,16,28,23,18
175,18,22,41,18
176,24,24,37,33
177,17,25,20,25
178,20,21,16,12
179,18,13,23,15
180,19,61,38,20
181,21,56,26,26
182,24,21,25,31
183,49,43,26,49
184,36,32,24,21
185,44,24,19,32
186,27,19,33,18
187,25,22,30,13
188,23,13,49,23
189,31,34,26,37
190,31,15,23,19
191,27,48,24,19
192,42,21,26,21
193,27,23,17,33
194,43,36,20,31
195,35,28,28,23
196,21,28,20,22
197,22,28,38,18
198,13,29,19,27
199,15,24,20,20
